교차로명,소재지도로명주소,소재지지번주소,위도,경도,설치일자,통계시작일자,통계종료일자,일평균통과차량수,관리기관명,관리부서전화번호,데이터기준일자
산내초사거리,경기도 파주시 와석순환로 286,경기도 파주시 목동동 1051,37.722651123,126.7383719482,2023-05-30,2024-08-01,2025-08-01,26181,경기도 파주시청,031-940-5254,2025-08-14
삽교교사거리,경기도 파주시 평화로 136,경기도 파주시 금촌동 433-5,37.7682486012,126.7653426387,2023-05-30,2024-08-01,2025-08-01,52323,경기도 파주시청,031-940-5254,2025-08-14
삽다리교차로,경기도 파주시 교하로 424,경기도 파주시 동패동 287-5,37.7059978995,126.7317394649,2023-05-30,2024-08-01,2025-08-01,14324,경기도 파주시청,031-940-5254,2025-08-14
삽다리사거리,경기도 파주시 교하로 440,경기도 파주시 동패동 1352,37.7054501277,126.7299323573,2023-05-30,2024-08-01,2025-08-01,25999,경기도 파주시청,031-940-5254,2025-08-14
상지석1교차로,경기도 파주시 상지석안길 99,경기도 파주시 상지석동 1799,37.7266498178,126.7816541931,2023-05-30,2024-08-01,2025-08-01,36764,경기도 파주시청,031-940-5254,2025-08-14
상지석2교차로,경기도 파주시 운정로 113-50,경기도 파주시 상지석동 1846,37.7226474165,126.780535844,2023-05-30,2024-08-01,2025-08-01,37596,경기도 파주시청,031-940-5254,2025-08-14
상지석3교차로,경기도 고양시 일산동구 운정로 183-5,경기도 고양시 일산동구 성석동 1779,37.7202144706,126.7850045293,2023-05-30,2024-08-01,2025-08-01,38862,경기도 파주시청,031-940-5254,2025-08-14
상지석교차로,경기도 파주시 미리내로 70,경기도 파주시 상지석동 1634,37.728942198,126.7733464293,2023-05-30,2024-08-01,2025-08-01,32301,경기도 파주시청,031-940-5254,2025-08-14
"새꽃1,3단지삼거리",경기도 파주시 새꽃로 35,경기도 파주시 금촌동 984,37.7538225511,126.7679868892,2023-05-30,2024-08-01,2025-08-01,15023,경기도 파주시청,031-940-5254,2025-08-14
새암공원교차로,경기도 파주시 와석순환로 125,경기도 파주시 동패동 1759-2,37.7121188159,126.7458447709,2021-03-01,2024-08-01,2025-08-01,46871,경기도 파주시청,031-940-5254,2025-08-14
석곶초사거리,경기도 파주시 책향기로 452,경기도 파주시 동패동 1702,37.7241436947,126.7219682346,2023-05-30,2024-08-01,2025-08-01,10421,경기도 파주시청,031-940-5254,2025-08-14
설마교차로,경기도 파주시 적성면 사기막길 38-10,경기도 파주시 적성면 설마리 32-3,37.9240638095,126.9527001792,2023-05-30,2024-08-01,2025-08-01,6033,경기도 파주시청,031-940-5254,2025-08-14
순달교교차로,경기도 파주시 평화로 98,경기도 파주시 금촌동 374-4,37.7659097556,126.768835174,2021-03-01,2024-08-01,2025-08-01,35871,경기도 파주시청,031-940-5254,2025-08-14
시청앞사거리,경기도 파주시 중앙로 263,경기도 파주시 금촌동 767-11,37.7596042445,126.7774346001,2021-03-01,2024-08-01,2025-08-01,29242,경기도 파주시청,031-940-5254,2025-08-14
신산초등학교앞교차로,경기도 파주시 광탄면 만장산로 41,경기도 파주시 광탄면 신산리 35-3,37.7797759034,126.8539199268,2023-05-30,2024-08-01,2025-08-01,7744,경기도 파주시청,031-940-5254,2025-08-14
신홍레미콘삼거리,경기도 파주시 중앙로 68,경기도 파주시 금릉동 6-1,37.7504548609,126.7956997324,2023-05-30,2024-08-01,2025-08-01,31444,경기도 파주시청,031-940-5254,2025-08-14
심학산교차로,경기도 파주시 심학산로 384,경기도 파주시 동패동 1781,37.7172083875,126.7365623267,2024-10-01,2024-08-01,2025-08-01,60204,경기도 파주시청,031-940-5254,2025-08-14
아동교차로,경기도 파주시 아리랑로 31,경기도 파주시 금촌동 466-87,37.763087103,126.765630298,2021-03-01,2024-08-01,2025-08-01,54848,경기도 파주시청,031-940-5254,2025-08-14
아동사거리,경기도 파주시 새꽃로 246,경기도 파주시 아동동 312-18,37.7673015331,126.7793949761,2021-03-01,2024-08-01,2025-08-01,13106,경기도 파주시청,031-940-5254,2025-08-14
야당과선교교차로,경기도 파주시 경의로 1046,경기도 파주시 야당동 1056-3,37.7106586603,126.7593506126,2021-03-01,2024-08-01,2025-08-01,46252,경기도 파주시청,031-940-5254,2025-08-14
어유교차로,경기도 파주시 적성면 어못내길 6,경기도 파주시 적성면 어유지리 265-3,37.9979882035,126.9845744618,2023-05-30,2024-08-01,2025-08-01,4312,경기도 파주시청,031-940-5254,2025-08-14
오산1교차로,경기도 파주시 조리읍 등원로330번길 27,경기도 파주시 조리읍 오산리 153-27,37.7721521799,126.8310382462,2023-05-30,2024-08-01,2025-08-01,58021,경기도 파주시청,031-940-5254,2025-08-14
와동교차로,경기도 파주시 파주로 625,경기도 파주시 당하동 371,37.7428830233,126.7531738278,2021-03-01,2024-08-01,2025-08-01,88700,경기도 파주시청,031-940-5254,2025-08-14
용미주유소앞,경기도 파주시 광탄면 혜음로 407,경기도 파주시 광탄면 용미리 283-1,37.7312896974,126.8884851085,2023-05-30,2024-08-01,2025-08-01,7349,경기도 파주시청,031-940-5254,2025-08-14
운정119센터사거리,경기도 파주시 와석순환로 86,경기도 파주시 야당동 1006,37.7114806518,126.7502691453,2023-05-30,2024-08-01,2025-08-01,18557,경기도 파주시청,031-940-5254,2025-08-14
운정건강공원교차로,경기도 파주시 교하로 239,경기도 파주시 동패동 1800-2,37.7171155725,126.7436260214,2021-03-01,2024-08-01,2025-08-01,49656,경기도 파주시청,031-940-5254,2025-08-14
운정경기인력개발원3R,경기도 파주시 와석순환로172번길 16,경기도 파주시 동패동 1803,37.7132170096,126.7443859362,2023-05-30,2024-08-01,2025-08-01,22659,경기도 파주시청,031-940-5254,2025-08-14
운정경기인력개발원후문,경기도 파주시 와석순환로 135,경기도 파주시 동패동 1758,37.7120373052,126.744481738,2023-05-30,2024-08-01,2025-08-01,14500,경기도 파주시청,031-940-5254,2025-08-14
운정행복센터교차로,경기도 파주시 와석순환로 415,경기도 파주시 와동동 1358,37.724029221,126.751306524,2021-03-01,2024-08-01,2025-08-01,34343,경기도 파주시청,031-940-5254,2025-08-14
운정호수교차로,경기도 파주시 경의로 1114,경기도 파주시 야당동 1076,37.7166199046,126.7603960984,2021-03-01,2024-08-01,2025-08-01,82416,경기도 파주시청,031-940-5254,2025-08-14
유비파크사거리,경기도 파주시 와석순환로 507,경기도 파주시 와동동 1426,37.7245831362,126.7619105999,2023-05-30,2024-08-01,2025-08-01,39041,경기도 파주시청,031-940-5254,2025-08-14
장남교교차로,경기도 파주시 적성면 율곡로 1934,경기도 파주시 적성면 두지리 61-2,37.9679657897,126.8998184436,2023-05-30,2024-08-01,2025-08-01,5536,경기도 파주시청,031-940-5254,2025-08-14
지산중학교앞사거리,경기도 파주시 와석순환로 431,경기도 파주시 와동동 1365-3,37.7236708551,126.7532119609,2021-03-01,2024-08-01,2025-08-01,23010,경기도 파주시청,031-940-5254,2025-08-14
지산초교차로,경기도 파주시 경의로 1250,경기도 파주시 와동동 1454,37.7290360499,126.7611348433,2021-03-01,2024-08-01,2025-08-01,51574,경기도 파주시청,031-940-5254,2025-08-14
"책향기13,14단지사거리",경기도 파주시 패랭이길 108,경기도 파주시 동패동 1715-12,37.7211086563,126.7169940017,2023-05-30,2024-08-01,2025-08-01,16404,경기도 파주시청,031-940-5254,2025-08-14
책향기교차로,경기도 파주시 물향기1로 194,경기도 파주시 동패동 2173-561,37.72691011661,126.728186976,2023-05-30,2024-08-01,2025-08-01,37304,경기도 파주시청,031-940-5254,2025-08-14
청석교차로,경기도 파주시 연다산길 11,경기도 파주시 오도동 144,37.7415251474,126.7243389019,2023-05-30,2024-08-01,2025-08-01,38704,경기도 파주시청,031-940-5254,2025-08-14
청암초사거리,경기도 파주시 산내로104번길 20-15,경기도 파주시 목동동 964-5,37.7284881883,126.7380681652,2023-05-30,2024-08-01,2025-08-01,33536,경기도 파주시청,031-940-5254,2025-08-14
청암초삼거리,경기도 파주시 청암로 16,경기도 파주시 목동동 868,37.7307625527,126.7378965623,2023-05-30,2024-08-01,2025-08-01,26768,경기도 파주시청,031-940-5254,2025-08-14
충만한교회사거리,경기도 파주시 한빛로 5,경기도 파주시 야당동 1010,37.7100580971,126.7543816633,2023-05-30,2024-08-01,2025-08-01,18562,경기도 파주시청,031-940-5254,2025-08-14
파주스타디움앞교차로,,경기도 파주시 금릉동 176-4,37.7531941333,126.7868974904,2023-05-30,2024-08-01,2025-08-01,49416,경기도 파주시청,031-940-5254,2025-08-14
하동사거리,경기도 파주시 문산읍 하동로 34,경기도 파주시 문산읍 문산리 128-15,37.8602234644,126.7777132924,2023-05-30,2024-08-01,2025-08-01,17939,경기도 파주시청,031-940-5254,2025-08-14
"한빛4,8단지사거리",경기도 파주시 와석순환로 16,경기도 파주시 야당동 1016,37.710910514,126.7580017039,2023-05-30,2024-08-01,2025-08-01,20938,경기도 파주시청,031-940-5254,2025-08-14
한빛7단지삼거리,경기도 파주시 와석순환로 66,경기도 파주시 야당동 1006-8,37.7103214557,126.7517595902,2023-05-30,2024-08-01,2025-08-01,15567,경기도 파주시청,031-940-5254,2025-08-14
한빛마을교차로,경기도 파주시 경의로 1010,경기도 파주시 야당동 1046,37.7073694256,126.7598093067,2021-03-01,2024-08-01,2025-08-01,52296,경기도 파주시청,031-940-5254,2025-08-14
해솔2단지사거리,경기도 파주시 산내로 46-8,경기도 파주시 목동동 999-2,37.7251680694,126.7412880388,2023-05-30,2024-08-01,2025-08-01,17264,경기도 파주시청,031-940-5254,2025-08-14
해솔2단지삼거리,경기도 파주시 와석순환로 347,경기도 파주시 목동동 2-117,37.7251710815,126.7436381845,2023-05-30,2024-08-01,2025-08-01,13159,경기도 파주시청,031-940-5254,2025-08-14
"해솔3,6단지사거리",경기도 파주시 미래로 535,경기도 파주시 목동동 2-110,37.7257097292,126.7505482858,2023-05-30,2024-08-01,2025-08-01,13806,경기도 파주시청,031-940-5254,2025-08-14
해오름14단지정문4R,경기도 파주시 장자울길 135,경기도 파주시 다율동 1030,37.7386256902,126.7326605602,2023-05-30,2024-08-01,2025-08-01,19062,경기도 파주시청,031-940-5254,2025-08-14
"해오름2,13단지사거리",경기도 파주시 청암로 79,경기도 파주시 다율동 1044-9,37.7351259995,126.7328239759,2023-05-30,2024-08-01,2025-08-01,12927,경기도 파주시청,031-940-5254,2025-08-14
흰돌마을삼거리,경기도 파주시 중앙로 189,경기도 파주시 금릉동 213-4,37.7543129185,126.782768929,2021-03-01,2024-08-01,2025-08-01,38599,경기도 파주시청,031-940-5254,2025-08-14
